,program,identificador,;,begin,end,.,var,:,real,cadena,operadorAsignacion,+,-,concatenacion,*,/,^,constanteReal,constanteCadena,(,),raiz,extraerSubcadena,",",buscarSubcadena,longitudCadena,while,do,operadorLogicoOr,operadorLogicoAnd,operadorLogicoNot,operadorRelacional,if,then,else,read,write,$
Programa,tProgram tIdentificador tPuntoYComa vDeclaracionVariables tBegin vCuerpo tEnd tPunto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeclaracionVariables,,,,EPS,,,tVar vCuerpoVar tEnd tPuntoYComa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuerpoVar,,tIdentificador tDosPuntos vTipoVar tPuntoYComa vCuerpoVarII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CuerpoVarII,,vCuerpoVar,,,EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TipoVar,,,,,,,,,tReal,tCadena,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuerpo,,vSentencia tPuntoYComa vCuerpo,,,EPS,,,,,,,,,,,,,,,,,,,,,,vSentencia tPuntoYComa vCuerpo,,,,,,vSentencia tPuntoYComa vCuerpo,,EPS,vSentencia tPuntoYComa vCuerpo,vSentencia tPuntoYComa vCuerpo,
Sentencia,,vAsignacion,,,,,,,,,,,,,,,,,,,,,,,,,vCiclica,,,,,,vCondicional,,,vLectura,vEscritura,
Asignacion,,tIdentificador tOperadorAsignacion vExpresion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expresion,,vTermino vExpresionII,,,,,,,,,,,vTermino vExpresionII,,,,,vTermino vExpresionII,vTermino vExpresionII,vTermino vExpresionII,,vTermino vExpresionII,vTermino vExpresionII,,vTermino vExpresionII,vTermino vExpresionII,,,,,,,,,,,,
ExpresionII,,,EPS,,,,,,,,,tMas vTermino vExpresionII,tMenos vTermino vExpresionII,tConcatenacion vTermino vExpresionII,,,,,,,EPS,,,EPS,,,,EPS,EPS,EPS,,EPS,,EPS,,,,
Termino,,vFactor vTerminoII,,,,,,,,,,,vFactor vTerminoII,,,,,vFactor vTerminoII,vFactor vTerminoII,vFactor vTerminoII,,vFactor vTerminoII,vFactor vTerminoII,,vFactor vTerminoII,vFactor vTerminoII,,,,,,,,,,,,
TerminoII,,,EPS,,,,,,,,,EPS,EPS,EPS,tProducto vFactor vTerminoII,tDivision vFactor vTerminoII,,,,,EPS,,,EPS,,,,EPS,EPS,EPS,,EPS,,EPS,,,,
